"id","class","color","vineyard","fixed.acidity","acid.sulfur","volatile.acidity","sulfur.taste","citric.acid","residual.sugar","chlorides","chlor.class","free.sulfur.dioxide","condition","total.sulfur.dioxide","density","pH","acid.taste","sulphates","acidity.variance","alcohol"
550,"excellent","white","B",6.7,3.52084979573114,0.33,1.96224878353064,0.36,6.6,0.042,"i3",34,"I1",116,0.99123,2.97,2.77,0.31,0.24,12.2
551,"good","white","B",6.9,2.62708873080058,0.17,2.49063777942034,0.22,4.6,0.064,"i3",55,"I1",152,0.9952,3.29,2.13,0.37,0.24,9.3
552,"good","white","D",6.7,3.57778936112371,0.18,3.49294130824441,0.31,10.6,0.035,"h3",42,"I1",143,0.99572,3.08,1.89,0.49,0.24,9.8
553,"good","white","D",7.4,3.15212295290372,0.21,2.65570952200874,0.27,1.2,0.041,"e2",27,"P1",99,0.9927,3.19,2.42,0.33,0.24,9.8
554,"poor","white","E",6.4,3.59796876509357,0.34,3.34363222520983,0.2,14.9,0.06,"g2",37,"S2",162,0.9983,3.13,2.41,0.45,0.24,9
555,"medium","white","B",7.7,3.23462448355831,0.28,4.68439803101945,0.29,4.3,0.051,"h3",25,"I1",142,0.9939,3.16,2.02,0.39,0.24,10.2
556,"good","white","D",6.4,3.46481433128719,0.22,2.82018771304066,0.32,4.9,0.046,"h3",50,"I1",156,0.99316,3.38,1.91,0.55,0.24,11.2
557,"good","red","C",8.5,2.51712138744837,0.37,2.31333160498547,0.2,2.8,0.09,"c1",18,"P1",58,0.998,3.34,1.45,0.7,0.24,9.6
558,"medium","white","C",6.7,3.29329535937799,0.2,3.11213178980219,0.37,1.65,0.025,"f2",42,"I1",103,0.99022,3.11,1.96,0.45,0.24,11.4
559,"good","white","C",6.6,2.57760697161059,0.27,3.1387819606266,0.41,1.3,0.052,"i3",16,"P1",142,0.9951,3.42,2.32,0.47,0.24,10
560,"poor","white","E",5.3,2.65037728449177,0.43,1.69302205662153,0.11,1.1,0.029,"i3",6,"I2",51,0.99076,3.51,1.59,0.48,0.24,11.2
561,"medium","red","B",7.8,1.92276308267474,0.61,1.5824624978895,0.29,1.6,0.114,"e3",9,"S1",29,0.9974,3.26,1.63,1.56,0.24,9.1
562,"good","white","B",7.5,2.24236820606245,0.29,2.21206363686733,0.67,8.1,0.037,"i2",53,"I1",166,0.9966,2.9,1.29,0.41,0.24,8.9
563,"good","red","B",8,2.68452337228649,0.3,3.57436594393106,0.63,1.6,0.081,"f3",16,"S1",29,0.99588,3.3,1.28,0.78,0.24,10.8
564,"good","white","B",7.2,2.53660608039631,0.27,3.59479736447733,0.27,2.4,0.048,"e3",30,"I1",149,0.9936,3.1,2.73,0.51,0.24,9.2
565,"medium","red","B",7,2.383851944204,0.51,2.41523945944347,0.09,2.1,0.062,"g2",4,"I1",9,0.99584,3.35,1.95,0.54,0.24,10.5
566,"medium","white","D",6.4,2.96435194938418,0.27,3.21142163715331,0.17,8.4,0.044,"b2",60,"P1",198,0.99578,3.21,2.16,0.47,0.24,9.4
567,"medium","white","D",8.3,3.38304298602721,0.23,2.55635105779716,0.43,3.2,0.035,"e1",14,"S3",101,0.9928,3.15,1.86,0.36,0.24,11.5
568,"good","white","A",7.4,2.3561042043823,0.29,1.59067965832588,0.28,10.2,0.032,"g2",43,"S2",138,0.9951,3.1,2.52,0.47,0.24,10.6
569,"medium","white","B",5.7,3.99200991038385,0.45,2.64019561626626,0.42,1.1,0.051,"g2",61,"I1",197,0.9932,3.02,2.35,0.4,0.24,9
570,"poor","white","A",6.6,2.61262884119523,0.31,2.41454169703743,0.37,6.2,0.052,"g1",13,"S1",164,0.99602,3.24,2.79,0.39,0.24,8.8
571,"good","red","C",6.6,3.08695427472456,0.815,2.96074406722703,0.02,2.7,0.072,"g1",17,"S3",34,0.9955,3.58,2.31,0.89,0.24,12.3
572,"good","white","B",6.4,2.72445251837587,0.33,1.83457104891283,0.31,5.5,0.048,"i1",42,"S2",173,0.9951,3.19,1.88,0.66,0.24,9.3
573,"medium","white","D",6.4,3.03335355520795,0.25,1.48453010520144,0.57,1,0.062,"h3",21,"P1",122,0.99238,3,3.01,0.4,0.24,9.5
574,"good","red","E",8.3,2.89547294867808,0.66,3.35326503788797,0.15,1.9,0.079,"e1",17,"I1",42,0.9972,3.31,1.72,0.54,0.24,9.6
575,"medium","white","C",9.4,3.42115195684959,0.3,2.46843966072292,0.32,10.7,0.029,"b2",14,"S1",111,0.9958,2.85,2.43,0.42,0.24,10.6
576,"good","white","B",7.2,2.65826558357779,0.685,2.32311057712397,0.21,9.5,0.07,"e1",33,"S2",172,0.9971,3,2.21,0.55,0.24,9.1
577,"medium","white","B",7.9,2.9592172206709,0.345,2.34647953476747,0.51,15.3,0.047,"h2",54,"S1",171,0.9987,3.09,1.89,0.51,0.24,9.1
578,"good","red","B",8,3.89842194440347,0.5,5.47690103393163,0.39,2.6,0.082,"d2",12,"I1",46,0.9985,3.43,1.84,0.62,0.24,10.7
579,"good","white","D",6.3,2.73127363461563,0.15,2.609012723747,0.34,11.4,0.05,"b3",25,"I1",96,0.99754,3.21,1.86,0.49,0.24,10
580,"good","white","B",6.1,2.00256942371996,0.29,2.37277103302467,0.27,1.7,0.024,"f3",13,"P2",76,0.9893,3.21,2.14,0.51,0.24,12.6
581,"good","white","E",6.2,2.93545532087315,0.76,2.70932010578595,0.01,3.2,0.041,"b3",18,"I1",120,0.99026,3.2,1.81,0.94,0.24,13.7
582,"good","white","D",7,2.21138973595504,0.33,1.77222595835,0.28,5.7,0.033,"g3",39,"I1",204,0.99176,3.17,2.12,0.64,0.24,12.5
583,"medium","white","A",6.9,2.77846942235324,0.28,2.34318549041692,0.4,8.2,0.036,"f1",15,"I2",95,0.9944,3.17,1.59,0.33,0.24,10.2
584,"good","white","D",7.2,3.25067948474989,0.115,3.4473725591796,0.3,6.8,0.056,"f3",26,"I2",105,0.9954,3.44,1.74,0.4,0.24,9.6
585,"good","white","E",5.8,2.4946568329273,0.2,3.83766042962107,0.3,1.5,0.031,"e1",21,"E",57,0.99115,3.44,1.72,0.55,0.24,11
586,"poor","white","B",8.8,3.17208784441147,0.35,1.67752071738077,0.49,1,0.036,"i1",14,"S2",56,0.992,2.96,2.46,0.33,0.24,10.5
587,"medium","white","B",7.2,2.80728970184251,0.46,2.58308117867981,0.65,10.4,0.05,"i2",76,"I1",192,0.9976,3.16,2.35,0.42,0.24,8.7
588,"medium","white","C",7,2.94037288847997,0.29,2.4679568222401,0.54,10.7,0.046,"i2",59,"I1",234,0.9966,3.05,1.36,0.61,0.24,9.5
589,"medium","white","A",4.6,2.69672586365511,0.445,3.3109705973299,0,1.4,0.053,"d2",11,"I1",178,0.99426,3.79,2.04,0.55,0.24,10.2
590,"medium","red","D",7.1,3.12861331869557,0.685,2.87450857011444,0.35,2,0.088,"b3",9,"I2",92,0.9963,3.28,2.46,0.62,0.24,9.4
591,"good","white","B",5.7,2.89420901802698,0.28,1.91715837272181,0.3,3.9,0.026,"f1",36,"S2",105,0.98963,3.26,1.91,0.58,0.24,12.75
592,"good","red","C",7.2,2.16519439272898,0.605,4.2108518037352,0.02,1.9,0.096,"g2",10,"E",31,0.995,3.46,2.89,0.53,0.24,11.8
593,"poor","white","B",8.1,2.93711470619974,0.28,1.19655414577195,0.46,15.4,0.059,"f3",32,"I2",177,1.0004,3.27,1.99,0.58,0.24,9
594,"good","white","E",7.6,2.5053665888622,0.38,4.03505012241266,0.28,4.2,0.029,"i1",7,"I2",112,0.9906,3,2.36,0.41,0.24,12.6
595,"good","white","E",6.4,3.0801491374096,0.24,3.89169242428723,0.32,14.9,0.047,"c1",54,"I1",162,0.9968,3.28,2.22,0.5,0.24,10.2
596,"medium","white","B",6.8,2.34842751444756,0.21,2.22237865186072,0.55,14.6,0.053,"f3",34,"I1",159,0.99805,2.93,2.22,0.44,0.24,9.2
597,"good","red","B",8.3,2.7180054847915,0.26,3.40578677689566,0.37,1.4,0.076,"g1",8,"S1",23,0.9974,3.26,2.44,0.7,0.24,9.6
598,"good","red","D",6.2,2.60699049406205,0.44,2.62049594936233,0.39,2.5,0.077,"c3",6,"I2",14,0.99555,3.51,2.02,0.69,0.24,11
599,"good","white","C",6,2.77578899732028,0.29,3.13596863418546,0.21,1.3,0.055,"i1",42,"I1",168,0.9914,3.32,1.76,0.43,0.24,11.1
600,"medium","white","E",6.6,3.0268419278747,0.28,4.59303548619586,0.41,7,0.046,"c2",59,"I1",194,0.99558,3.14,1.6,0.48,0.24,9.4
601,"medium","white","B",6.6,3.61759727382723,0.905,3.71572986355531,0.19,0.8,0.048,"g2",17,"I1",204,0.9934,3.34,2.02,0.56,0.24,10
602,"good","white","B",5.7,2.44044383702711,0.22,1.88407427323537,0.22,16.65,0.044,"b1",39,"I2",110,0.99855,3.24,2.79,0.48,0.24,9
603,"medium","red","B",8.7,3.1627164617876,0.82,4.48338444081933,0.02,1.2,0.07,"c1",36,"I1",48,0.9952,3.2,2.07,0.58,0.24,9.8
604,"medium","white","E",6.9,2.70078545197622,0.3,3.07075030213182,0.21,7.2,0.045,"i1",54,"I1",190,0.99595,3.22,2.33,0.48,0.24,9.4
605,"excellent","white","C",6.2,2.4389603688069,0.66,4.37829667293692,0.48,1.2,0.029,"c3",29,"I1",75,0.9892,3.33,1.82,0.39,0.24,12.8
606,"good","white","E",6.8,3.24489692325826,0.36,2.49883710238659,0.24,4.6,0.039,"c2",24,"I1",124,0.9909,3.27,1.88,0.34,0.24,12.6
607,"good","white","B",6.7,3.29646313729453,0.25,3.17804328734582,0.34,12.85,0.048,"g3",30,"S2",161,0.9986,3.44,2.43,0.47,0.24,9.5
608,"excellent","white","E",7.3,3.57352553868422,0.23,2.3700652149174,0.37,1.9,0.041,"h2",51,"I1",165,0.9908,3.26,1.95,0.4,0.24,12.2
609,"good","white","D",7.3,3.65558629997557,0.17,2.97588604939869,0.36,8.2,0.028,"h3",44,"I1",111,0.99272,3.14,1.82,0.41,0.24,12.4
610,"poor","white","C",6.6,3.46753925133289,0.38,1.67360258860436,0.18,1.2,0.042,"g2",20,"I1",84,0.9927,3.22,1.48,0.45,0.24,10.1
611,"medium","red","D",7.9,3.00497287255368,0.35,2.51335753774794,0.21,1.9,0.073,"f2",46,"I2",102,0.9964,3.27,1.8,0.58,0.24,9.5
612,"good","red","E",8.8,3.07145608111785,0.55,3.79515327072053,0.04,2.2,0.119,"d3",14,"I2",56,0.9962,3.21,1.95,0.6,0.24,10.9
613,"good","white","B",5.9,3.03942339712638,0.23,3.15990630740638,0.24,3.8,0.038,"d3",61,"I1",152,0.99139,3.31,2.1,0.5,0.24,11.3
614,"good","white","C",7.9,3.43057431512106,0.18,4.15188654660331,0.33,1.2,0.033,"g1",20,"I2",72,0.9922,3.12,2.66,0.38,0.24,10.5
615,"medium","white","D",6.6,2.84852907327036,0.25,2.82672492345341,0.36,8.1,0.045,"g3",54,"S1",180,0.9958,3.08,2.32,0.42,0.24,9.2
616,"good","red","C",11.6,3.87033842684695,0.41,2.80037020456197,0.54,1.5,0.095,"e2",22,"I1",41,0.99735,3.02,2.1,0.76,0.24,9.9
617,"good","white","E",6.6,2.87126284169187,0.23,2.64949500401255,0.32,1.7,0.024,"g2",26,"I1",102,0.99084,3.29,1.65,0.6,0.24,11.8
618,"medium","white","D",6.4,3.29438006852611,0.38,3.22475185236529,0.24,7.2,0.047,"h3",41,"I1",151,0.99604,3.11,2.39,0.6,0.24,9.2
619,"medium","white","D",6.4,3.07864493068049,0.42,2.71048361122073,0.19,9.3,0.043,"h3",28,"S1",145,0.99433,3.23,1.71,0.53,0.24,10.98
620,"good","red","D",8.9,3.27490159226004,0.12,2.37986890109248,0.45,1.8,0.075,"h2",10,"I1",21,0.99552,3.41,2.18,0.76,0.24,11.9
621,"good","white","D",7.1,2.65367268557276,0.18,2.75374039453005,0.74,15.6,0.044,"b2",44,"I1",176,0.9996,3.38,2.22,0.67,0.24,9
622,"medium","white","A",6.4,2.44353139347856,0.25,2.76057261393472,0.57,1,0.062,"i2",21,"S2",122,0.99238,3,2.4,0.4,0.24,9.5
623,"good","red","D",6.4,3.49656453413083,0.36,2.52869522829047,0.21,2.2,0.047,"e2",26,"S3",48,0.99661,3.47,1.64,0.77,0.24,9.7
624,"good","white","E",6.8,2.5639404971162,0.18,1.82129792788982,0.3,12.8,0.062,"c3",19,"I1",171,0.99808,3,1.69,0.52,0.24,9
625,"medium","white","A",7,2.61540713034893,0.16,2.8092778106652,0.73,1,0.138,"h1",58,"I1",150,0.9936,3.08,2.07,0.3,0.24,9.2
626,"medium","white","D",6,2.69522424312091,0.21,4.42263424458876,0.29,13.1,0.042,"e2",28,"I1",125,0.99936,3.39,2.1,0.45,0.24,8.6
627,"good","white","D",6.3,2.71416780077235,0.19,2.37531416143268,0.28,1.8,0.022,"g2",28,"I1",158,0.9907,3.2,2.36,0.64,0.24,11.4
628,"good","red","E",8.4,3.24421074167208,0.36,3.32800214456326,0.32,2.2,0.081,"d1",32,"I1",79,0.9964,3.3,1.78,0.72,0.24,11
629,"good","red","E",8.3,2.97897906828034,0.76,3.21141195548349,0.29,4.2,0.075,"i3",12,"I2",16,0.9965,3.45,2.42,0.68,0.24,11.5
630,"good","white","B",8.2,2.80842397275914,0.15,2.69040452155239,0.48,2.7,0.052,"h1",24,"S1",190,0.995,3.5,2.33,0.45,0.24,10.9
631,"good","white","B",6.6,2.16117383075999,0.3,2.95777214313237,0.25,8,0.036,"g2",21,"I1",124,0.99362,3.06,2.03,0.38,0.24,10.8
632,"good","red","B",8.8,3.72140352687524,0.55,2.04370917131698,0.04,2.2,0.119,"d2",14,"S3",56,0.9962,3.21,1.69,0.6,0.24,10.9
633,"medium","white","E",6,3.05475595445821,0.16,3.05430384358251,0.3,6.7,0.043,"b1",43,"I1",153,0.9951,3.63,1.6,0.46,0.24,10.6
634,"medium","white","E",6.7,3.03270226110195,0.5,1.70787165455365,0.38,7.5,0.046,"g3",26,"P1",175,0.99662,3.32,1.7,0.54,0.24,9.6
635,"good","white","D",7.1,3.5946576107726,0.13,2.60388058375817,0.38,1.8,0.046,"f2",14,"I1",114,0.9925,3.32,1.86,0.9,0.24,11.7
636,"medium","white","D",7.5,3.6810310896323,0.33,3.49793186925004,0.39,12.4,0.065,"f2",29,"I1",119,0.9974,3.16,1.52,0.39,0.24,9.4
637,"good","white","A",7.4,2.8660320390099,0.34,2.40510114693221,0.42,1.1,0.033,"g1",17,"S2",171,0.9917,3.12,2.22,0.53,0.24,11.3
638,"good","white","E",6.3,2.58959685532834,0.41,2.12909779705126,0.3,3.2,0.03,"h3",49,"S1",164,0.9927,3.53,2.01,0.79,0.24,11.7
639,"good","white","D",6.8,2.89058504864989,0.2,2.81336196980122,0.28,12.6,0.048,"c1",54,"I1",136,0.99556,3.19,1.79,0.37,0.24,10.7
640,"good","white","A",7.6,3.3468199834821,0.2,4.30988513892424,0.36,1.9,0.043,"e2",24,"I2",111,0.99237,3.29,3.13,0.54,0.24,11.3
641,"good","red","D",8.1,2.44508220440162,0.545,2.35520436191473,0.18,1.9,0.08,"d1",13,"S1",35,0.9972,3.3,1.72,0.59,0.24,9
642,"good","red","C",13.8,3.37980945114577,0.49,4.38306873148731,0.67,3,0.093,"g1",6,"I1",15,0.9986,3.02,2.4,0.93,0.24,12
643,"good","white","C",7.4,2.35250659678696,0.26,1.98886105991609,0.31,7.6,0.047,"e3",52,"I2",177,0.9962,3.13,1.36,0.45,0.24,8.9
644,"good","white","E",7.1,2.28025608167935,0.18,4.44039599791208,0.36,1.4,0.043,"c3",31,"I2",87,0.9898,3.26,2.51,0.37,0.24,12.7
645,"medium","white","C",5.7,4.06102638711179,0.16,2.33110244390633,0.32,1.2,0.036,"e3",7,"I1",89,0.99111,3.26,2.65,0.48,0.24,11
646,"medium","white","E",6.4,3.64456537431263,0.24,2.60328368737047,0.25,20.2,0.083,"c1",35,"I2",157,0.99976,3.17,2.13,0.5,0.24,9.1
647,"good","white","E",7.8,2.6145677943447,0.4,2.79581128928414,0.26,9.5,0.059,"d2",32,"I1",178,0.9955,3.04,1.23,0.43,0.24,10.9
648,"medium","white","B",7.1,2.95509648433087,0.31,2.16826758010159,0.5,14.5,0.059,"c1",6,"I1",148,0.9983,2.94,2.98,0.44,0.24,9.1
649,"good","white","E",8.1,2.51262128500082,0.28,2.46302456119798,0.4,6.9,0.05,"i3",30,"I2",97,0.9951,3.26,2.7,0.44,0.24,10.1
650,"medium","white","C",6.5,2.69581687106022,0.31,2.36175803352993,0.14,7.5,0.044,"f3",34,"I2",133,0.9955,3.22,2.25,0.5,0.24,9.5
651,"good","white","C",6.4,2.96142216971096,0.26,2.44826536405963,0.25,10.7,0.046,"e2",66,"I1",179,0.99606,3.17,2.08,0.55,0.24,9.9
652,"medium","red","E",6.1,2.45483868168191,0.715,3.17829900004504,0.1,2.6,0.053,"b3",13,"I1",27,0.99362,3.57,1.46,0.5,0.24,11.9
653,"medium","white","B",6.6,3.36514392946334,0.36,2.39095697589858,0.52,10.1,0.05,"f2",29,"S2",140,0.99628,3.07,1.76,0.4,0.24,9.4
654,"medium","white","E",6.5,3.01505322731824,0.33,3.51003684985267,0.38,8.3,0.048,"d3",68,"S1",174,0.99492,3.14,2.06,0.5,0.24,9.6
655,"good","white","B",6.3,2.64557337297336,0.27,2.86457185868014,0.29,12.2,0.044,"b1",59,"I2",196,0.99782,3.14,2.27,0.4,0.24,8.8
656,"medium","white","B",6.8,3.38072065573439,0.37,2.41822900352341,0.47,11.2,0.071,"i2",44,"S3",136,0.9968,2.98,2.48,0.88,0.24,9.2
657,"good","white","E",6.1,2.55303755268864,0.15,1.16942539538225,0.29,6.2,0.046,"c3",39,"I2",151,0.99471,3.6,2.36,0.44,0.24,10.6
658,"good","white","D",6,2.55799257826766,0.19,1.62524369497303,0.26,12.4,0.048,"d1",50,"I1",147,0.9972,3.3,2.21,0.36,0.24,8.9
659,"poor","white","C",6.8,2.25068757587526,0.705,2.47736063063542,0.25,3.2,0.048,"g3",10,"I1",57,0.996,3.36,1.53,0.52,0,9.5
660,"good","red","B",6.6,3.77865373914332,0.56,2.28709345514193,0.14,2.4,0.064,"c3",13,"S1",29,0.99397,3.42,1.66,0.62,0.24,11.7
661,"good","white","C",7,3.64833484234524,0.13,3.16630277085026,0.37,12.85,0.042,"g1",36,"I1",105,0.99581,3.05,2.35,0.55,0.24,10.7
662,"good","white","D",8.5,3.39282122414618,0.23,3.87718851171482,0.4,9.9,0.036,"f1",24,"I2",88,0.9951,3.02,2.02,0.42,0.24,10.5
663,"good","white","E",6.4,2.60805588773026,0.14,2.10281105697844,0.28,7.9,0.057,"g2",21,"I1",82,0.99425,3.26,2.57,0.36,0.24,10
664,"good","white","D",5.3,4.00642523590084,0.585,2.39357762088164,0.07,7.1,0.044,"b1",34,"I1",145,0.9945,3.34,1.56,0.57,0.24,9.7
665,"good","white","D",5.6,3.08616959294927,0.34,2.74434772742011,0.3,6.9,0.038,"g3",23,"I1",89,0.99266,3.25,2.8,0.49,0.24,11.1
666,"medium","red","E",10.8,2.14777666812475,0.89,3.13131859616136,0.3,2.6,0.132,"f1",7,"S1",60,0.99786,2.99,2.09,1.18,0.24,10.2
667,"good","red","E",6,3.85355290389839,0.51,1.95013398942054,0,2.1,0.064,"f2",40,"I1",54,0.995,3.54,2.76,0.93,0.24,10.7
668,"good","red","C",9.1,3.24859492855458,0.22,2.56103930337259,0.24,2.1,0.078,"d3",1,"I2",28,0.999,3.41,1.83,0.87,0.24,10.3
669,"medium","white","D",7.3,3.67456925465205,0.31,2.59046280789799,0.69,10.2,0.041,"d3",58,"I2",160,0.9977,3.06,2.61,0.45,0.24,8.6
670,"medium","white","B",7.2,2.91934778254998,0.31,5.09466870259018,0.26,7.3,0.05,"c3",37,"I1",157,0.99625,3.09,1.81,0.43,0.24,9
671,"excellent","white","D",5.8,2.78370226460983,0.21,2.34230842035209,0.32,1.6,0.045,"b1",38,"P1",95,0.98946,3.23,1.97,0.94,0.24,12.4
672,"medium","white","E",6.3,3.35197917681049,0.3,3.71526471112598,0.19,7.7,0.049,"h3",47,"I1",184,0.99514,3.22,2.41,0.48,0.24,9.5
673,"medium","red","E",9.4,3.52756301176763,0.34,2.39584782825351,0.37,2.2,0.075,"b3",5,"S1",13,0.998,3.22,2.43,0.62,0.24,9.2
674,"good","red","E",7.3,2.23873013897641,0.39,2.52111658978661,0.31,2.4,0.074,"f3",9,"I1",46,0.9962,3.41,2.79,0.54,0.24,9.4
675,"good","white","D",7.9,3.02381005412528,0.37,2.80670105315645,0.31,2.85,0.037,"b2",5,"I1",24,0.9911,3.19,2.87,0.36,0.24,11.9
676,"good","white","D",5.7,1.79740709029673,0.23,2.5027895947652,0.25,7.95,0.042,"g2",16,"I1",108,0.99486,3.44,1.9,0.61,0.24,10.3
677,"good","white","D",6.4,3.23583398112342,0.23,4.201215850601,0.3,7.1,0.037,"f2",63,"I1",236,0.9952,3.06,1.45,0.34,0.24,9.2
678,"good","white","B",7.4,2.92045965012475,0.32,2.77521346185886,0.55,16.6,0.056,"d2",53,"P2",238,1.0017,2.96,2.34,0.58,0.24,8.7
679,"medium","red","B",7.4,2.98998277535189,0.67,3.19451994347851,0.12,1.6,0.186,"f1",5,"I2",21,0.996,3.39,1.8,0.54,0.24,9.5
680,"good","red","D",5.7,2.65361455648556,0.6,3.44473061098666,0,1.4,0.063,"f3",11,"I2",18,0.99191,3.45,2.3,0.56,0.24,12.2
681,"good","white","A",6.3,1.91529119146112,0.21,3.75619741636926,0.33,13.9,0.046,"i2",68,"S2",179,0.9971,3.36,2.1,0.5,0.24,10.4
682,"medium","red","E",6.7,2.92878744744648,0.54,1.90000514399276,0.13,2,0.076,"d1",15,"S2",36,0.9973,3.61,1.94,0.64,0.24,9.8
683,"medium","white","E",7.7,2.8943270032178,0.27,1.51006608573536,0.61,12,0.046,"f1",64,"I1",179,0.9982,3.07,2.26,0.46,0.24,8.9
684,"poor","red","E",7.4,3.48873075651303,0.59,4.16537227144643,0.08,4.4,0.086,"c1",6,"I1",29,0.9974,3.38,1.31,0.5,0.24,9
685,"good","white","D",7.3,3.10295355004595,0.25,2.03535183043054,0.42,14.2,0.041,"i2",57,"I2",182,0.9996,3.29,2.14,0.75,0.24,9.1
686,"good","red","D",9.4,2.5901324431258,0.685,3.4069673928306,0.11,2.7,0.077,"c3",6,"I2",31,0.9984,3.19,3.43,0.7,0.24,10.1
687,"good","white","B",6.3,2.83893685756841,0.12,3.10999526300867,0.36,2.1,0.044,"e2",47,"I2",146,0.9914,3.27,1.84,0.74,0,11.4
688,"medium","white","B",7.6,3.31250139739213,0.28,2.02628043627548,0.49,20.15,0.06,"f1",30,"I1",145,1.00196,3.01,1.73,0.44,0.24,8.5
689,"excellent","white","A",8.2,2.6108532443428,0.37,2.73619360741049,0.36,1,0.034,"c2",17,"S2",93,0.9906,3.04,1.92,0.32,0.24,11.7
690,"good","white","D",6.7,3.54561228368974,0.24,4.34281258547916,0.36,8.4,0.042,"i3",42,"S2",123,0.99473,3.34,1.79,0.52,0.24,10.9
691,"good","white","C",5.2,2.94055843285423,0.36,1.62013922788362,0.02,1.6,0.031,"g1",24,"I1",104,0.9896,3.44,1.85,0.35,0.24,12.2
692,"medium","white","B",6.1,2.25913920969397,0.34,3.21433574832121,0.21,5,0.042,"c3",17,"S1",133,0.99373,3.02,2.44,0.53,0.24,9.4
693,"good","red","E",7.5,3.48681600722253,0.53,3.47720932604956,0.06,2.6,0.086,"g2",20,"S1",44,0.9965,3.38,1.77,0.59,0.24,10.7
694,"medium","white","A",6.8,3.12326723786243,0.45,3.87012065077369,0.3,11.8,0.094,"f1",23,"I2",97,0.997,3.09,2.05,0.44,0.24,9.6
695,"medium","red","C",8.9,3.01738452293614,0.31,2.91464021646005,0.36,2.6,0.056,"i1",10,"I1",39,0.99562,3.4,2.03,0.69,0.24,11.8
696,"good","white","E",5.7,3.07466609165266,0.22,1.86114146126968,0.22,16.65,0.044,"b1",39,"S1",110,0.99855,3.24,1.27,0.48,0.24,9
697,"poor","white","B",6.1,3.0935578742232,0.26,3.11300167668986,0.25,2.9,0.047,"e2",289,"I1",440,0.99314,3.44,2.03,0.64,0.24,10.5
698,"good","white","C",6.5,3.86604832919777,0.29,1.78742174099198,0.52,7.9,0.049,"h3",35,"S3",192,0.99551,3.16,2.56,0.51,0.24,9.5
699,"good","white","E",6.5,3.40141010400051,0.16,2.41542194670788,0.33,4.8,0.043,"f2",45,"I1",114,0.992,3.18,2.04,0.44,0.24,11.2
700,"good","white","B",6.7,2.85968583097866,0.47,3.70436545382441,0.29,4.75,0.034,"h1",29,"I2",134,0.99056,3.29,1.39,0.46,0.24,13
701,"good","red","B",10.8,2.67344210034575,0.4,2.71838350183072,0.41,2.2,0.084,"f1",7,"P1",17,0.9984,3.08,1.61,0.67,0.24,9.3
702,"good","white","E",7.5,2.76043892650278,0.24,2.97888454702006,0.31,13.1,0.05,"b3",26,"S3",180,0.99884,3.05,3.49,0.53,0.24,9.1
703,"medium","white","D",7.1,2.50723994067232,0.31,2.21646899895507,0.47,13.6,0.056,"g1",54,"I1",197,0.9978,3.1,2.01,0.49,0.24,9.3
704,"good","white","C",4.8,2.96698339543776,0.26,3.40441235021766,0.23,10.6,0.034,"g1",23,"I1",111,0.99274,3.46,2.3,0.28,0.24,11.5
705,"medium","red","D",8.6,3.12125792217628,0.635,2.76528160138156,0.68,1.8,0.403,"b2",19,"I2",56,0.99632,3.02,2.21,1.15,0.24,9.3
706,"good","white","E",5.6,2.6575179795665,0.255,3.13852666233365,0.57,10.7,0.056,"d2",66,"S1",171,0.99464,3.25,1.7,0.61,0.24,10.4
707,"good","white","B",7.8,2.72166302938983,0.42,4.01741510005751,0.23,8.8,0.054,"f1",42,"S1",215,0.9971,3.02,1.74,0.58,0.24,9.2
708,"excellent","white","A",6.2,3.26134136990781,0.37,1.7361024248792,0.24,6.1,0.032,"d3",19,"I1",86,0.98934,3.04,2.28,0.26,0.24,13.4
709,"good","white","A",7,2.65690485227339,0.23,3.19608183783141,0.26,7.2,0.041,"h3",21,"I1",90,0.99509,3.22,1.69,0.55,0.24,9.5
710,"good","white","D",6.7,2.91047311840165,0.28,2.32012545991273,0.34,8.9,0.048,"f2",32,"I2",111,0.99455,3.25,3.03,0.54,0.24,11
711,"medium","white","D",7.6,3.64324669837293,0.18,3.57166413132961,0.49,18.05,0.046,"i1",36,"I1",158,0.9996,3.06,1.54,0.41,0.24,9.2
712,"good","white","B",6.6,2.82052182107903,0.18,3.07373662932454,0.28,1.7,0.041,"g3",53,"I1",161,0.99207,3.13,1.5,0.45,0,10.2
713,"excellent","white","C",6.5,1.6125973409538,0.44,1.40592645599195,0.47,5.45,0.014,"c2",44,"I2",137,0.98984,3.13,1.85,0.32,0.24,13
714,"excellent","red","D",9.4,2.79674377439356,0.3,3.20546130311807,0.56,2.8,0.08,"f3",6,"P2",17,0.9964,3.15,1.7,0.92,0.24,11.7
715,"good","white","D",6,2.88199134354386,0.24,2.71023681206042,0.27,1.9,0.048,"e3",40,"I2",170,0.9938,3.64,1.99,0.54,0.24,10
716,"good","white","D",7.3,3.45968506582198,0.22,2.19631747264937,0.37,14.3,0.063,"i1",48,"S1",191,0.9978,2.89,1.8,0.38,0.24,9
717,"good","white","D",6.7,2.63527028187812,0.22,1.76924000239648,0.33,1.2,0.036,"e3",36,"I1",86,0.99058,3.1,2.05,0.76,0.24,11.4
718,"medium","red","D",10.8,2.91285945068568,0.45,3.96135906221858,0.33,2.5,0.099,"e1",20,"I1",38,0.99818,3.24,2.21,0.71,0.24,10.8
719,"good","red","E",8.8,3.35207610434645,0.7,3.55874722390102,0,1.7,0.069,"h1",8,"S1",19,0.99701,3.31,2.26,0.53,0.24,10
